,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,19.74211,67.53168,390.288,38.86352,51.10837,26.5243,7.857661,9.652533,4.252813,73.40269,52.11333,85.28667
1992,60.44801,236.4035,101.5593,42.99483,5.961704,36.85771,8.634416,4.455232,1.530096,87.33293,21.70802,278.6028
1993,355.4868,233.3391,126.2656,67.05347,54.77452,53.26911,0.3928037,6.56109,0.8492403,52.55031,66.73676,114.7569
1994,70.06848,171.8913,28.29831,55.72416,47.5338,2.323648,0.2356603,3.51E-02,10.17897,24.59785,196.1612,168.708
1995,506.209,36.56861,445.9713,147.1297,111.6367,55.90332,4.093193,5.55E-02,1.03E-02,0.4859581,10.80915,252.8431
1996,252.0234,276.095,123.7325,119.7484,142.0362,8.426571,4.784966,3.323093,15.35453,53.89222,138.8959,475.3548
1997,417.7581,20.35323,42.6956,42.14384,18.57647,36.49522,5.099811,10.29459,12.14426,60.80646,162.2833,96.03604
1998,332.7343,400.7465,127.917,103.6721,148.3033,34.5451,3.174269,1.638988,35.20073,30.14757,189.1924,98.53996
1999,184.7461,281.7326,93.36496,69.04865,19.79461,11.02728,1.372029,7.742884,2.312018,42.78547,96.59516,31.66296
2000,262.4235,350.381,77.0348,59.26197,60.22538,11.87092,0.251791,0.6984606,22.09389,99.89794,37.91075,44.91381
2001,109.9285,170.4338,76.3317,82.90454,3.158096,5.743184,2.065965,3.85E-02,12.97186,29.93413,171.8861,270.3016
2002,107.8893,71.07689,126.5549,38.08598,37.57604,0.5899658,1.969787,0.1339693,0.376236,0.3985748,132.108,366.1303
2003,97.94236,63.42808,107.0594,194.582,48.77974,1.036781,2.59865,27.35093,2.215683,2.735168,83.76353,286.1913
2004,106.0697,237.323,38.24731,21.80401,20.07849,4.332861,1.910863,1.107832,6.334143,140.4612,72.49413,178.3212
2005,190.4604,93.52145,179.1102,68.53134,137.9744,44.38583,3.07E-02,1.093836,9.658552,25.91042,92.52129,445.1082
2006,204.2384,132.0107,257.4133,239.6364,29.68804,3.767886,1.274858,0.2160549,0.3668499,9.815014,94.85834,138.2959
2007,25.04982,241.5382,28.49068,64.57024,23.29099,8.237844,4.492705,1.203077,17.54621,64.60887,27.18644,135.2813
2008,247.9163,136.578,27.79206,9.890511,20.11704,7.61E-02,0.2986305,0.3894081,0.2285385,39.39083,102.6615,117.4912
2009,69.97088,216.9666,145.2616,30.89894,93.5961,19.64258,0.9393716,2.2075,3.693413,87.70821,39.21869,130.0266
2010,226.192,119.1517,106.4998,155.1145,69.27697,4.97986,1.364832,2.015933,2.096655,147.2739,148.9498,315.4088
2011,49.27345,171.0695,338.7736,54.04081,81.26651,68.28348,0.6264727,5.36E-02,5.90164,76.75288,43.80048,4.616501
2012,144.9279,44.21909,266.3839,135.3052,7.200558,17.05398,3.170046,2.143362,0.9646959,52.13147,194.3997,349.241
2013,29.97447,15.66968,66.52632,34.99859,26.98221,29.2111,2.405324,1.707009,31.86839,13.25261,36.41183,18.80693
2014,29.38847,219.3498,171.5269,57.74332,14.56962,0.4376326,5.982867,14.1144,24.29558,31.052,90.37226,287.1461
2015,2.865723,129.4197,19.56085,59.30677,26.89197,9.848146,12.72624,2.154307,3.927546,30.07629,92.69514,196.3313
2016,277.6719,47.4701,291.3154,55.2969,36.38119,6.446585,5.12E-03,0.6876452,1.072208,214.9681,102.9793,212.7772
2017,483.978,431.9467,127.9414,166.9857,11.90023,15.98135,0.4866672,4.255564,14.01913,15.46814,219.0788,14.3145
2018,156.7307,22.66582,289.3367,106.7493,27.75222,2.496453,1.468808,7.81E-02,2.35E-02,19.23526,132.6984,88.74075
2019,244.6532,418.5249,177.2281,56.99542,126.2478,6.092671,0.4730728,0.3217602,38.40978,3.539539,32.60663,219.8132
2020,80.66914,0.6247253,127.9905,66.31438,64.83302,5.493575,1.600267,1.410636,0.1117153,2.62E-02,68.62291,77.93082
